sentID,trueLabel,llama3.2:1b|EMO01__pred,llama3.2:1b|EMO01 + Few_shot01__pred,llama3.2:1b|EMO01 + Few_shot02__pred,llama3.2:1b|EMO01 + Role01__pred,llama3.2:1b|EMO01 + Role02__pred,llama3.2:1b|EMO02__pred,llama3.2:1b|EMO02 + Few_shot01__pred,llama3.2:1b|EMO02 + Few_shot02__pred,llama3.2:1b|EMO02 + Role01__pred,llama3.2:1b|EMO02 + Role02__pred,llama3.2:1b|Few_shot01__pred,llama3.2:1b|Few_shot02__pred,llama3.2:1b|Role01__pred,llama3.2:1b|Role01 + Few_shot01__pred,llama3.2:1b|Role01 + Few_shot02__pred,llama3.2:1b|Role02__pred,llama3.2:1b|Role02 + Few_shot01__pred,llama3.2:1b|Role02 + Few_shot02__pred
HPRD50.d0.s0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d0.s0_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d0.s0_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d1.s0_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d1.s1_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d1.s1_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d1.s1_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d1.s2_7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d1.s3_8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d11.s0_49,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d11.s0_50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPRD50.d11.s0_51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPRD50.d11.s1_52,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d12.s0_53,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d12.s1_54,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d12.s1_55,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d12.s1_56,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
