,EMO01,EMO01_Role01,EMO01_Role02,EMO02_Few_shot01,EMO02_Role01,Role01,Role02,y
HPRD50.d0.s0_0,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d0.s0_1,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d0.s0_2,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d1.s0_3,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d1.s1_4,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d1.s1_5,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d1.s1_6,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d1.s2_7,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d1.s3_8,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d11.s0_49,-0.27196,-0.30015,4.65698,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d11.s0_50,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,7.13142,1
HPRD50.d11.s0_51,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,7.13142,1
HPRD50.d11.s1_52,-0.27196,3.33167,-0.21473,-0.254,-0.14022,3.75832,-0.14022,1
HPRD50.d12.s0_53,-0.27196,3.33167,-0.21473,3.937,-0.14022,3.75832,-0.14022,1
HPRD50.d12.s1_54,3.67696,-0.30015,4.65698,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d12.s1_55,3.67696,-0.30015,4.65698,3.937,-0.14022,3.75832,-0.14022,1
HPRD50.d12.s1_56,3.67696,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,1
HPRD50.d13.s0_57,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d13.s1_58,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d13.s1_59,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d13.s1_60,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d13.s1_61,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d13.s1_62,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d13.s1_63,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d13.s2_64,3.67696,3.33167,-0.21473,-0.254,-0.14022,3.75832,-0.14022,1
HPRD50.d14.s0_65,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d14.s1_66,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
