,EMO01,EMO01_Few_shot01,EMO01_Few_shot02,EMO01_Role01,EMO01_Role02,EMO02,EMO02_Few_shot01,EMO02_Few_shot02,EMO02_Role01,EMO02_Role02,Few_shot01,Few_shot02,Role01,Role01_Few_shot01,Role01_Few_shot02,Role02,Role02_Few_shot01,Role02_Few_shot02,y
HPRD50.d10.s0_10,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d10.s0_11,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d10.s0_9,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d10.s1_12,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d10.s1_13,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d10.s1_14,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d10.s2_15,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d10.s3_16,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d10.s3_17,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d10.s3_18,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d10.s4_19,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d10.s4_20,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d10.s4_21,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d15.s0_22,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d15.s1_23,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d15.s2_24,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d15.s2_25,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d15.s2_26,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d15.s3_27,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d15.s4_28,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d17.s0_29,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d28.s0_30,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d28.s0_31,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d28.s0_32,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d28.s1_33,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
