,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.669,0.6042,0.1974,0.6867,0.2923,0.1651,0.2199,0.004
ada,Ada Boost Classifier,0.669,0.6047,0.1879,0.6917,0.2839,0.1613,0.2185,0.024
nb,Naive Bayes,0.6655,0.6043,0.2338,0.61,0.3331,0.1726,0.206,0.004
lda,Linear Discriminant Analysis,0.6655,0.6037,0.1788,0.6583,0.2685,0.1504,0.2002,0.004
ridge,Ridge Classifier,0.6655,0.0,0.1693,0.6667,0.2588,0.1465,0.1995,0.004
qda,Quadratic Discriminant Analysis,0.6655,0.4746,0.2147,0.51,0.3011,0.1627,0.1904,0.004
rf,Random Forest Classifier,0.6552,0.5738,0.2052,0.5843,0.2999,0.1413,0.1741,0.048
knn,K Neighbors Classifier,0.6586,0.6004,0.197,0.57,0.2854,0.1439,0.1718,0.012
svm,SVM - Linear Kernel,0.6069,0.0,0.3861,0.5798,0.3862,0.1456,0.1683,0.006
mlp,MLP Classifier,0.6517,0.5923,0.1866,0.5962,0.2775,0.1271,0.1653,0.03
gbc,Gradient Boosting Classifier,0.6517,0.5651,0.1957,0.57,0.2872,0.1304,0.1613,0.01
catboost,CatBoost Classifier,0.6517,0.5738,0.1957,0.57,0.2872,0.1304,0.1613,0.122
et,Extra Trees Classifier,0.6483,0.5741,0.1771,0.4771,0.2569,0.1145,0.1286,0.044
dt,Decision Tree Classifier,0.6483,0.5741,0.1771,0.4771,0.2569,0.1145,0.1286,0.006
