,Role02,EMO01_Role01,EMO01_Role02,Role01,y
HPRD50.d0.s0_0,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d0.s0_1,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d0.s0_2,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d1.s0_3,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d1.s1_4,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d1.s1_5,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d1.s1_6,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d1.s2_7,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d1.s3_8,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d11.s0_49,-0.14022,-0.30015,4.65698,-0.26608,1
HPRD50.d11.s0_50,7.13142,-0.30015,-0.21473,-0.26608,1
HPRD50.d11.s0_51,7.13142,-0.30015,-0.21473,-0.26608,1
HPRD50.d11.s1_52,-0.14022,3.33167,-0.21473,3.75832,1
HPRD50.d12.s0_53,-0.14022,3.33167,-0.21473,3.75832,1
HPRD50.d12.s1_54,-0.14022,-0.30015,4.65698,-0.26608,0
HPRD50.d12.s1_55,-0.14022,-0.30015,4.65698,3.75832,1
HPRD50.d12.s1_56,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d13.s0_57,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d13.s1_58,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d13.s1_59,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d13.s1_60,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d13.s1_61,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d13.s1_62,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d13.s1_63,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d13.s2_64,-0.14022,3.33167,-0.21473,3.75832,1
HPRD50.d14.s0_65,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d14.s1_66,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s0_67,-0.14022,-0.30015,-0.21473,3.75832,1
HPRD50.d16.s0_68,-0.14022,-0.30015,-0.21473,3.75832,0
HPRD50.d16.s0_69,-0.14022,-0.30015,-0.21473,3.75832,1
HPRD50.d16.s1_70,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_71,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_72,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_73,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_74,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_75,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_76,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_77,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_78,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_79,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_80,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_81,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_82,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_83,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s1_84,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s2_85,-0.14022,-0.30015,-0.21473,3.75832,1
HPRD50.d16.s3_86,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s3_87,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s3_88,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s4_89,7.13142,3.33167,4.65698,-0.26608,0
HPRD50.d16.s4_90,7.13142,-0.30015,4.65698,-0.26608,1
