,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
4,Ridge Classifier,0.6483,0.0,0.1787,0.675,0.2806,0.1416,0.1971,0.002
9,Naive Bayes,0.6483,0.5961,0.1787,0.675,0.2806,0.1416,0.1971,0.004
14,MLP Classifier,0.6483,0.6002,0.1787,0.675,0.2806,0.1416,0.1971,0.032
6,Linear Discriminant Analysis,0.6483,0.5956,0.1787,0.675,0.2806,0.1416,0.1971,0.006
17,Quadratic Discriminant Analysis,0.6483,0.5968,0.1787,0.675,0.2806,0.1416,0.1971,0.004
16,SVM - Linear Kernel,0.6483,0.0,0.1787,0.675,0.2806,0.1416,0.1971,0.004
5,Logistic Regression,0.6483,0.5956,0.1787,0.675,0.2806,0.1416,0.1971,0.004
15,Decision Tree Classifier,0.6379,0.586,0.2506,0.6298,0.3455,0.1507,0.192,0.006
10,Extra Trees Classifier,0.6448,0.5941,0.1696,0.6683,0.2685,0.1314,0.1868,0.118
11,Random Forest Classifier,0.6345,0.5915,0.2597,0.6165,0.3529,0.1483,0.186,0.05
2,SVM - Radial Kernel,0.6448,0.5951,0.17,0.655,0.2678,0.1316,0.1832,0.008
13,Gaussian Process Classifier,0.6448,0.5905,0.17,0.655,0.2678,0.1316,0.1832,0.072
8,K Neighbors Classifier,0.6345,0.5784,0.2419,0.6191,0.3343,0.141,0.1811,0.014
3,Gradient Boosting Classifier,0.6276,0.5721,0.3115,0.5546,0.3894,0.1503,0.1689,0.036
1,CatBoost Classifier,0.6276,0.5785,0.2419,0.6006,0.3307,0.1287,0.1657,0.082
12,Extreme Gradient Boosting,0.6172,0.5812,0.2502,0.5762,0.3297,0.1116,0.1444,0.018
0,Light Gradient Boosting Machine,0.6138,0.5678,0.2411,0.5662,0.3166,0.1011,0.1328,0.008
7,Ada Boost Classifier,0.6103,0.586,0.2498,0.5273,0.3242,0.0973,0.119,0.018
