,accuracy,precision,recall,f1_score,auc,specificity,mcc,bestCutoff
rbfsvm,0.684931506849315,0.75,0.12,0.20689655172413793,0.54875,0.9791666666666666,0.20677679393993248,0.5
gbc,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
ridge,0.684931506849315,0.75,0.12,0.20689655172413793,0.5495833333333333,0.9791666666666666,0.20677679393993248,0.5
lr,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
catboost,0.684931506849315,0.75,0.12,0.20689655172413793,0.5495833333333333,0.9791666666666666,0.20677679393993248,0.5
lda,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
ada,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
knn,0.684931506849315,0.75,0.12,0.20689655172413793,0.5495833333333333,0.9791666666666666,0.20677679393993248,0.5
nb,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
et,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
lightgbm,0.6712328767123288,0.6666666666666666,0.08,0.14285714285714285,0.5495833333333333,0.9791666666666666,0.14143538543790327,0.5
rf,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
xgboost,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
gpc,0.684931506849315,0.75,0.12,0.20689655172413793,0.5745833333333333,0.9791666666666666,0.20677679393993248,0.5
mlp,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
dt,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
svm,0.684931506849315,0.75,0.12,0.20689655172413793,0.5495833333333333,0.9791666666666666,0.20677679393993248,0.5
qda,0.684931506849315,0.75,0.12,0.20689655172413793,0.5504166666666667,0.9791666666666666,0.20677679393993248,0.5
