,accuracy,precision,recall,f1_score,auc,specificity,mcc,bestCutoff
gbc,0.4,0.38235294117647056,1.0,0.5531914893617021,0.5227272727272727,0.045454545454545456,0.13183201107616097,0.3
lightgbm,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
catboost,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
dt,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
mlp,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
gpc,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
xgboost,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
rf,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
et,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
nb,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
knn,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
ada,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
lda,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
lr,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
rbfsvm,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
qda,0.37142857142857144,0.37142857142857144,1.0,0.5416666666666666,0.4772727272727273,0.0,0.0,0.1
ridge,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.1
svm,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.1
