iter	Logloss
0	0.6926336028
1	0.6919672284
2	0.6914657461
3	0.6908144842
4	0.6901718304
5	0.6896744835
6	0.6890415566
7	0.6885724623
8	0.6880954953
9	0.6874802424
10	0.6870163419
11	0.686416235
12	0.6858260568
13	0.6852419786
14	0.6846656824
15	0.6842266422
16	0.6837936265
17	0.6833654728
18	0.6828129027
19	0.6823954277
20	0.6818513643
21	0.6813175572
22	0.6807922743
23	0.6803924265
24	0.6800050692
25	0.6794891249
26	0.6789861696
27	0.6784837223
28	0.6781077108
29	0.6777403013
30	0.6772546117
31	0.6767753039
32	0.67641971
33	0.6760725033
34	0.67560749
35	0.6751504377
36	0.6746965237
37	0.6742511506
38	0.673809914
39	0.6733719237
40	0.6729419006
41	0.6726213972
42	0.6722022318
43	0.6718885653
44	0.6715778643
45	0.6711717133
46	0.6707702312
47	0.6703670185
48	0.6699767117
49	0.6695876623
50	0.6693010152
51	0.6689234132
52	0.668544766
53	0.668172365
54	0.6678052682
55	0.6674430561
56	0.6670887718
57	0.6667374327
58	0.6664774483
59	0.6661298595
60	0.6657883644
61	0.6655356773
62	0.6652906091
63	0.6650409512
64	0.6647150392
65	0.6644757054
66	0.6642374292
67	0.6640012168
68	0.6636903751
69	0.6633761935
70	0.6630686349
71	0.6627636103
72	0.6624657874
73	0.6621693467
74	0.661874604
75	0.6616620491
76	0.6614541342
77	0.6611705191
78	0.6608910159
79	0.6606877348
80	0.6604128941
81	0.6601400685
82	0.6598755512
83	0.6596093276
84	0.6593504149
85	0.6590934672
86	0.6589069039
87	0.6587234449
88	0.6585370259
89	0.6582940317
90	0.6580468678
91	0.6578046585
92	0.6575659374
93	0.6573954474
94	0.6572235169
95	0.6569943221
96	0.6568301001
97	0.6566026962
98	0.656374586
99	0.6561548958
100	0.65599773
101	0.6558403889
102	0.6556835023
103	0.655470658
104	0.6552630335
105	0.6551109192
106	0.6549679676
107	0.654819965
108	0.6546200284
109	0.6544774472
110	0.6542749022
111	0.6540846655
112	0.6538910487
113	0.6536984102
114	0.6535653482
115	0.6534331109
116	0.6533025229
117	0.6531188369
118	0.6529859087
119	0.6528573675
120	0.6526820754
121	0.6525086554
