iter	Passed	Remaining
0	0	379
1	0	345
2	0	313
3	1	317
4	1	306
5	1	294
6	2	288
7	2	275
8	2	267
9	2	262
10	2	268
11	3	268
12	3	269
13	3	268
14	4	270
15	4	274
16	4	273
17	4	271
18	5	270
19	5	269
20	5	271
21	6	284
22	6	286
23	7	286
24	7	286
25	7	285
26	7	286
27	8	288
28	8	286
29	8	285
30	9	285
31	9	286
32	9	285
33	11	318
34	11	323
35	12	325
36	12	327
37	13	331
38	13	330
39	13	330
40	14	329
41	14	328
42	14	329
43	15	327
44	15	327
45	15	325
46	16	325
47	16	324
48	16	323
49	16	322
50	17	320
51	17	318
52	17	317
53	18	316
54	18	315
55	18	314
56	18	314
57	19	313
58	19	312
59	19	311
60	20	310
61	20	308
62	20	307
63	21	307
64	21	307
65	21	306
66	21	305
67	22	304
68	22	303
69	22	304
70	23	303
71	23	302
72	23	302
73	24	301
74	24	300
75	24	299
76	24	298
77	25	298
78	25	297
79	25	296
80	26	298
81	26	298
82	27	299
83	27	299
84	27	299
85	28	299
86	28	298
87	28	297
88	28	296
89	29	296
90	29	295
91	29	295
92	30	295
93	30	294
94	30	293
95	31	294
96	31	294
97	32	294
98	32	296
99	32	296
100	33	296
101	33	295
102	33	295
103	34	294
104	34	294
105	34	292
106	34	291
107	35	290
108	35	290
109	35	290
110	36	290
111	36	289
112	36	288
113	37	287
114	37	286
115	37	285
116	37	284
117	38	284
118	38	283
119	38	283
120	38	282
121	39	282
122	39	283
123	40	283
124	40	283
125	40	282
126	41	282
127	41	282
128	41	282
129	42	282
130	42	282
131	42	281
132	43	281
133	43	280
134	43	280
135	44	280
136	44	279
137	44	279
138	44	278
139	45	278
140	45	278
141	46	278
142	46	278
143	46	277
144	46	277
145	47	276
146	47	276
147	47	275
148	48	276
149	48	276
150	49	276
151	49	276
152	50	280
153	50	280
154	51	279
155	52	283
156	52	283
157	53	283
158	53	283
159	53	283
160	54	283
161	54	283
162	55	282
163	55	282
164	55	281
165	55	281
166	56	280
167	56	280
168	56	279
169	57	279
170	57	278
171	57	278
172	57	277
173	58	276
174	58	275
175	58	275
176	59	274
177	59	274
178	59	274
179	60	273
180	60	273
181	60	273
182	61	272
183	61	272
184	61	271
185	62	271
186	62	270
187	62	270
188	62	269
189	63	269
190	63	268
191	63	267
192	63	267
193	64	266
194	64	266
195	64	265
196	64	264
197	65	263
198	65	263
199	65	263
200	66	263
201	66	262
202	66	262
203	67	262
204	67	261
205	67	261
206	69	265
207	69	265
208	69	264
209	70	263
210	70	262
211	70	262
212	70	261
213	71	261
214	71	260
215	71	260
216	72	259
217	72	259
218	72	259
219	72	258
220	73	258
221	73	258
222	73	257
223	74	257
224	74	256
225	74	256
226	75	255
227	75	255
228	75	255
229	76	255
230	76	255
231	77	255
232	77	254
233	77	254
234	78	254
235	78	253
236	78	253
237	78	252
238	79	252
239	79	251
240	79	251
241	80	250
242	80	250
243	80	249
244	80	249
245	81	248
246	81	247
247	81	247
248	81	246
249	82	246
250	82	245
251	82	245
252	83	245
253	83	244
254	83	244
255	83	243
256	84	243
257	84	242
258	84	242
259	85	242
260	85	241
261	85	241
262	85	240
263	86	240
264	86	239
265	86	239
266	86	238
267	87	238
268	87	237
269	87	237
270	88	237
271	88	236
272	88	236
273	89	236
274	89	236
275	89	236
276	90	235
277	90	235
278	90	234
279	91	234
280	91	233
281	91	233
282	92	233
283	92	232
284	92	232
285	92	231
286	93	231
287	93	230
288	93	230
289	93	230
290	94	229
291	94	229
292	94	228
293	95	228
294	95	228
295	95	227
296	96	227
297	96	226
298	96	226
299	96	226
300	97	226
301	97	225
302	97	225
303	98	225
304	98	224
305	98	223
306	99	223
307	99	223
308	99	222
309	99	222
310	101	225
311	101	224
312	102	224
313	102	224
314	102	223
315	103	223
316	103	222
317	103	222
318	104	222
319	104	221
320	104	221
321	105	221
322	105	220
323	105	220
324	105	219
